artifact_id,source,access_url,resolved_url,filename,path,retrieved_at,source_version,size_bytes,sha256,licence_class,attribution,geographic_scope,filter_method,record_count_before_filter,record_count_after_relevance_filter,record_count_after_gauteng_filter,errors_limitations
geoboundaries:api:adm1,geoboundaries,https://www.geoboundaries.org/api/current/gbOpen/ZAF/ADM1/,https://www.geoboundaries.org/api/current/gbOpen/ZAF/ADM1/,gbopen-zaf-ADM1-api.json,raw/geoboundaries/gbopen-zaf-ADM1-api.json,2026-08-14T15:57:06Z,"{""boundaryID"":""ZAF-ADM1-76434192"",""boundaryLicense"":""Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO)"",""boundaryYearRepresented"":""2020"",""buildDate"":""Dec 12, 2023"",""http_content_length"":""1833"",""http_etag"":""\""729-6121e2dc4d66d\"""",""http_last_modified"":""Sat, 24 Feb 2024 10:31:26 GMT"",""resolved_url_at_retrieval"":""https://www.geoboundaries.org/api/current/gbOpen/ZAF/ADM1/"",""sourceDataUpdateDate"":""Thu Jan 19 07:31:04 2023""}",1833,8274642880064eb7c93c1000b05bd45db3f32a738991462e9f3e85605bb21a1b,CC_BY,geoBoundaries gbOpen; upstream metadata records Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO).,Gauteng candidate catalogue; source-native scope preserved,not yet extracted,,,,[]
geoboundaries:api:adm2,geoboundaries,https://www.geoboundaries.org/api/current/gbOpen/ZAF/ADM2/,https://www.geoboundaries.org/api/current/gbOpen/ZAF/ADM2/,gbopen-zaf-ADM2-api.json,raw/geoboundaries/gbopen-zaf-ADM2-api.json,2026-08-14T15:57:08Z,"{""boundaryID"":""ZAF-ADM2-47623444"",""boundaryLicense"":""Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO)"",""boundaryYearRepresented"":""2020"",""buildDate"":""Dec 12, 2023"",""http_content_length"":""1843"",""http_etag"":""\""733-6121e2dc56adc\"""",""http_last_modified"":""Sat, 24 Feb 2024 10:31:26 GMT"",""resolved_url_at_retrieval"":""https://www.geoboundaries.org/api/current/gbOpen/ZAF/ADM2/"",""sourceDataUpdateDate"":""Thu Jan 19 07:31:04 2023""}",1843,4cdc4b311fe3429d3370d1505eb4f92bfd35a89b182988783f50744980c2d388,CC_BY,geoBoundaries gbOpen; upstream metadata records Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO).,Gauteng candidate catalogue; source-native scope preserved,not yet extracted,,,,[]
geoboundaries:api:adm3,geoboundaries,https://www.geoboundaries.org/api/current/gbOpen/ZAF/ADM3/,https://www.geoboundaries.org/api/current/gbOpen/ZAF/ADM3/,gbopen-zaf-ADM3-api.json,raw/geoboundaries/gbopen-zaf-ADM3-api.json,2026-08-14T15:57:11Z,"{""boundaryID"":""ZAF-ADM3-15628383"",""boundaryLicense"":""Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO)"",""boundaryYearRepresented"":""2020"",""buildDate"":""Dec 12, 2023"",""http_content_length"":""1838"",""http_etag"":""\""72e-6121e2dc60334\"""",""http_last_modified"":""Sat, 24 Feb 2024 10:31:26 GMT"",""resolved_url_at_retrieval"":""https://www.geoboundaries.org/api/current/gbOpen/ZAF/ADM3/"",""sourceDataUpdateDate"":""Thu Jan 19 07:31:04 2023""}",1838,91f601e788aca5a4e9bde8d307710e0d05c12e1fc6abb3fc941e96baf55e48c4,CC_BY,geoBoundaries gbOpen; upstream metadata records Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO).,Gauteng candidate catalogue; source-native scope preserved,not yet extracted,,,,[]
geoboundaries:geojson:adm1,geoboundaries,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ZAF/ADM1/geoBoundaries-ZAF-ADM1.geojson,https://media.githubusercontent.com/media/wmgeolab/geoBoundaries/9469f09592ced973a3448cf66b6100b741b64c0d/releaseData/gbOpen/ZAF/ADM1/geoBoundaries-ZAF-ADM1.geojson,geoBoundaries-ZAF-ADM1.geojson,raw/geoboundaries/geoBoundaries-ZAF-ADM1.geojson,2026-08-14T15:57:07Z,"{""api_url"":""https://www.geoboundaries.org/api/current/gbOpen/ZAF/ADM1/"",""boundaryID"":""ZAF-ADM1-76434192"",""boundaryLicense"":""Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO)"",""boundaryYearRepresented"":""2020"",""buildDate"":""Dec 12, 2023"",""http_content_length"":""19806654"",""http_etag"":""\""5d82ed95b034f50d69d96c9b7136e9b5868a5fb4ef2d8905a6a6ac3715fef452\"""",""http_last_modified"":""Fri, 14 Aug 2026 15:57:07 GMT"",""resolved_url_at_retrieval"":""https://media.githubusercontent.com/media/wmgeolab/geoBoundaries/9469f09592ced973a3448cf66b6100b741b64c0d/releaseData/gbOpen/ZAF/ADM1/geoBoundaries-ZAF-ADM1.geojson"",""sourceDataUpdateDate"":""Thu Jan 19 07:31:04 2023""}",19806654,5d82ed95b034f50d69d96c9b7136e9b5868a5fb4ef2d8905a6a6ac3715fef452,CC_BY,geoBoundaries gbOpen; upstream metadata records Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO).,Gauteng candidate catalogue; source-native scope preserved,ADM1: select Gauteng feature; ADM2/ADM3: retain features whose geometry intersects the Gauteng ADM1 polygon,9,,1,[]
geoboundaries:geojson:adm2,geoboundaries,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ZAF/ADM2/geoBoundaries-ZAF-ADM2.geojson,https://media.githubusercontent.com/media/wmgeolab/geoBoundaries/9469f09592ced973a3448cf66b6100b741b64c0d/releaseData/gbOpen/ZAF/ADM2/geoBoundaries-ZAF-ADM2.geojson,geoBoundaries-ZAF-ADM2.geojson,raw/geoboundaries/geoBoundaries-ZAF-ADM2.geojson,2026-08-14T15:57:09Z,"{""api_url"":""https://www.geoboundaries.org/api/current/gbOpen/ZAF/ADM2/"",""boundaryID"":""ZAF-ADM2-47623444"",""boundaryLicense"":""Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO)"",""boundaryYearRepresented"":""2020"",""buildDate"":""Dec 12, 2023"",""http_content_length"":""32530325"",""http_etag"":""\""6cc504ad835b37823da687a3fd3f0cab63608a6c8a5ad906e1011f1554bbbbdd\"""",""http_last_modified"":""Fri, 14 Aug 2026 15:57:09 GMT"",""resolved_url_at_retrieval"":""https://media.githubusercontent.com/media/wmgeolab/geoBoundaries/9469f09592ced973a3448cf66b6100b741b64c0d/releaseData/gbOpen/ZAF/ADM2/geoBoundaries-ZAF-ADM2.geojson"",""sourceDataUpdateDate"":""Thu Jan 19 07:31:04 2023""}",32530325,6cc504ad835b37823da687a3fd3f0cab63608a6c8a5ad906e1011f1554bbbbdd,CC_BY,geoBoundaries gbOpen; upstream metadata records Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO).,Gauteng candidate catalogue; source-native scope preserved,ADM1: select Gauteng feature; ADM2/ADM3: retain features whose geometry intersects the Gauteng ADM1 polygon,52,,11,[]
geoboundaries:geojson:adm3,geoboundaries,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ZAF/ADM3/geoBoundaries-ZAF-ADM3.geojson,https://media.githubusercontent.com/media/wmgeolab/geoBoundaries/9469f09592ced973a3448cf66b6100b741b64c0d/releaseData/gbOpen/ZAF/ADM3/geoBoundaries-ZAF-ADM3.geojson,geoBoundaries-ZAF-ADM3.geojson,raw/geoboundaries/geoBoundaries-ZAF-ADM3.geojson,2026-08-14T15:57:12Z,"{""api_url"":""https://www.geoboundaries.org/api/current/gbOpen/ZAF/ADM3/"",""boundaryID"":""ZAF-ADM3-15628383"",""boundaryLicense"":""Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO)"",""boundaryYearRepresented"":""2020"",""buildDate"":""Dec 12, 2023"",""http_content_length"":""50705428"",""http_etag"":""\""74e489fd4370972403950719026a317abba443668cea7d49f4b36c61637958f1\"""",""http_last_modified"":""Fri, 14 Aug 2026 15:57:12 GMT"",""resolved_url_at_retrieval"":""https://media.githubusercontent.com/media/wmgeolab/geoBoundaries/9469f09592ced973a3448cf66b6100b741b64c0d/releaseData/gbOpen/ZAF/ADM3/geoBoundaries-ZAF-ADM3.geojson"",""sourceDataUpdateDate"":""Thu Jan 19 07:31:04 2023""}",50705428,74e489fd4370972403950719026a317abba443668cea7d49f4b36c61637958f1,CC_BY,geoBoundaries gbOpen; upstream metadata records Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO).,Gauteng candidate catalogue; source-native scope preserved,ADM1: select Gauteng feature; ADM2/ADM3: retain features whose geometry intersects the Gauteng ADM1 polygon,213,,22,[]
geonames:ZA.zip,geonames,https://download.geonames.org/export/dump/ZA.zip,https://download.geonames.org/export/dump/ZA.zip,ZA.zip,raw/geonames/ZA.zip,2026-08-14T15:26:27Z,"{""http_content_length"":""2694046"",""http_etag"":""\""291b9e-658f850b50c65\"""",""http_last_modified"":""Fri, 14 Aug 2026 02:09:49 GMT"",""reference"":""HTTP Last-Modified/ETag returned at retrieval"",""resolved_url_at_retrieval"":""https://download.geonames.org/export/dump/ZA.zip""}",2694046,35a43a5d3db18584663e537926d9101dd041c5745747ef20f4af4a3853424529,CC_BY_4,GeoNames geographic database; attribution required by the GeoNames licence.,Gauteng candidate catalogue; source-native scope preserved,"ZA.zip: country_code=ZA, admin1_code=06, then Gauteng polygon gate; supporting files parsed as lookup/evidence inputs",103212,,2863,[]
geonames:admin1CodesASCII.txt,geonames,https://download.geonames.org/export/dump/admin1CodesASCII.txt,https://download.geonames.org/export/dump/admin1CodesASCII.txt,admin1CodesASCII.txt,raw/geonames/admin1CodesASCII.txt,2026-08-14T15:26:46Z,"{""http_content_length"":""151536"",""http_etag"":""\""24ff0-658f850d07784\"""",""http_last_modified"":""Fri, 14 Aug 2026 02:09:51 GMT"",""reference"":""HTTP Last-Modified/ETag returned at retrieval"",""resolved_url_at_retrieval"":""https://download.geonames.org/export/dump/admin1CodesASCII.txt""}",151536,590651498043f674accda2b7f46d21286cda0e290b02f8561c5005eee9a5448c,CC_BY_4,GeoNames geographic database; attribution required by the GeoNames licence.,Gauteng candidate catalogue; source-native scope preserved,"ZA.zip: country_code=ZA, admin1_code=06, then Gauteng polygon gate; supporting files parsed as lookup/evidence inputs",3865,,,[]
geonames:admin2Codes.txt,geonames,https://download.geonames.org/export/dump/admin2Codes.txt,https://download.geonames.org/export/dump/admin2Codes.txt,admin2Codes.txt,raw/geonames/admin2Codes.txt,2026-08-14T15:26:48Z,"{""http_content_length"":""2370576"",""http_etag"":""\""242c10-658f850d07784\"""",""http_last_modified"":""Fri, 14 Aug 2026 02:09:51 GMT"",""reference"":""HTTP Last-Modified/ETag returned at retrieval"",""resolved_url_at_retrieval"":""https://download.geonames.org/export/dump/admin2Codes.txt""}",2370576,b7a34ff7316ede90e197619a21f8b691302b15ef0f634bd455e5796aaf375b97,CC_BY_4,GeoNames geographic database; attribution required by the GeoNames licence.,Gauteng candidate catalogue; source-native scope preserved,"ZA.zip: country_code=ZA, admin1_code=06, then Gauteng polygon gate; supporting files parsed as lookup/evidence inputs",47551,,,[]
geonames:alternatenames:ZA.zip,geonames,https://download.geonames.org/export/dump/alternatenames/ZA.zip,https://download.geonames.org/export/dump/alternatenames/ZA.zip,ZA.zip,raw/geonames/alternatenames/ZA.zip,2026-08-14T15:26:45Z,"{""http_content_length"":""642152"",""http_etag"":""\""9cc68-658f86570d833\"""",""http_last_modified"":""Fri, 14 Aug 2026 02:15:37 GMT"",""reference"":""HTTP Last-Modified/ETag returned at retrieval"",""resolved_url_at_retrieval"":""https://download.geonames.org/export/dump/alternatenames/ZA.zip""}",642152,69c1a29cacdcdf72059f333b25d39ff98f2ef89d949d87a5b7cd0199240cabc1,CC_BY_4,GeoNames geographic database; attribution required by the GeoNames licence.,Gauteng candidate catalogue; source-native scope preserved,"ZA.zip: country_code=ZA, admin1_code=06, then Gauteng polygon gate; supporting files parsed as lookup/evidence inputs",62413,,,[]
